object,role,evidence,blend_x_mm,blend_y_mm,blend_z_mm,usd_x_mm,usd_y_mm,usd_z_mm,max_export_error_mm
Playing_Surface,floor,explicit_national_width1143_length1181,1143.0000066757202,1180.999994277954,9.999999776482582,1143.0000066757202,1180.999994277954,9.999999776482582,0.0
Tape_Healthcare_PCC_H_PCC,tape,explicit_detail_C,200.00000298023224,1180.999994277954,0.1500000071246177,200.00000298023224,1180.999994277954,0.1500000071246177,0.0
Tape_Start_Recovery,tape,explicit_detail_A,300.00007152557373,500.0,0.1500000071246177,300.00001192092896,500.0,0.1500000071246177,5.9604644775390625e-05
Tape_Isolation,tape,explicit_detail_B,300.00007152557373,300.00001192092896,0.1500000071246177,300.00001192092896,300.00001192092896,0.1500000071246177,5.9604644775390625e-05
Tape_Center_H,tape,international_p16_dimensions_national_edge_datums,439.9999678134918,500.0,0.1500000071246177,439.9999976158142,500.0,0.1500000071246177,2.9802322387695312e-05
Mark_Block_Yellow_R1_C1,marking,image_measured,19.999980926513672,20.00001072883606,0.019999999494757503,19.999999552965164,19.999999552965164,0.019999999494757503,1.862645149230957e-05
Block_Yellow_R1_C1,movable,explicit_size_image_placement,19.999980926513672,20.00001072883606,19.999999552965164,19.999999552965164,19.999999552965164,19.999999552965164,1.862645149230957e-05
Mark_Block_Yellow_R1_C2,marking,image_measured,19.999980926513672,20.00001072883606,0.019999999494757503,19.999999552965164,19.999999552965164,0.019999999494757503,1.862645149230957e-05
Block_Yellow_R1_C2,movable,explicit_size_image_placement,19.999980926513672,20.00001072883606,19.999999552965164,19.999999552965164,19.999999552965164,19.999999552965164,1.862645149230957e-05
Mark_Block_Green_R2_C1,marking,image_measured,19.999980926513672,19.999995827674866,0.019999999494757503,19.999999552965164,19.999999552965164,0.019999999494757503,1.862645149230957e-05
Block_Green_R2_C1,movable,explicit_size_image_placement,19.999980926513672,19.999995827674866,19.999999552965164,19.999999552965164,19.999999552965164,19.999999552965164,1.862645149230957e-05
Mark_Block_Green_R2_C2,marking,image_measured,19.999980926513672,19.999995827674866,0.019999999494757503,19.999999552965164,19.999999552965164,0.019999999494757503,1.862645149230957e-05
Block_Green_R2_C2,movable,explicit_size_image_placement,19.999980926513672,19.999995827674866,19.999999552965164,19.999999552965164,19.999999552965164,19.999999552965164,1.862645149230957e-05
Mark_Block_Red_R3_C1,marking,image_measured,19.999980926513672,19.999980926513672,0.019999999494757503,19.999999552965164,19.999999552965164,0.019999999494757503,1.862645149230957e-05
Block_Red_R3_C1,movable,explicit_size_image_placement,19.999980926513672,19.999980926513672,19.999999552965164,19.999999552965164,19.999999552965164,19.999999552965164,1.862645149230957e-05
Mark_Block_Red_R3_C2,marking,image_measured,19.999980926513672,19.999980926513672,0.019999999494757503,19.999999552965164,19.999999552965164,0.019999999494757503,1.862645149230957e-05
Block_Red_R3_C2,movable,explicit_size_image_placement,19.999980926513672,19.999980926513672,19.999999552965164,19.999999552965164,19.999999552965164,19.999999552965164,1.862645149230957e-05
Mark_Block_Red_R4_C1,marking,image_measured,19.999980926513672,19.999980926513672,0.019999999494757503,19.999999552965164,19.999999552965164,0.019999999494757503,1.862645149230957e-05
Block_Red_R4_C1,movable,explicit_size_image_placement,19.999980926513672,19.999980926513672,19.999999552965164,19.999999552965164,19.999999552965164,19.999999552965164,1.862645149230957e-05
Mark_Block_Red_R4_C2,marking,image_measured,19.999980926513672,19.999980926513672,0.019999999494757503,19.999999552965164,19.999999552965164,0.019999999494757503,1.862645149230957e-05
Block_Red_R4_C2,movable,explicit_size_image_placement,19.999980926513672,19.999980926513672,19.999999552965164,19.999999552965164,19.999999552965164,19.999999552965164,1.862645149230957e-05
Mark_Block_Green_R5_C1,marking,image_measured,19.999980926513672,19.999980926513672,0.019999999494757503,19.999999552965164,19.999999552965164,0.019999999494757503,1.862645149230957e-05
Block_Green_R5_C1,movable,explicit_size_image_placement,19.999980926513672,19.999980926513672,19.999999552965164,19.999999552965164,19.999999552965164,19.999999552965164,1.862645149230957e-05
Mark_Block_Green_R5_C2,marking,image_measured,19.999980926513672,19.999980926513672,0.019999999494757503,19.999999552965164,19.999999552965164,0.019999999494757503,1.862645149230957e-05
Block_Green_R5_C2,movable,explicit_size_image_placement,19.999980926513672,19.999980926513672,19.999999552965164,19.999999552965164,19.999999552965164,19.999999552965164,1.862645149230957e-05
Mark_Block_Yellow_R6_C1,marking,image_measured,19.999980926513672,19.999980926513672,0.019999999494757503,19.999999552965164,19.999999552965164,0.019999999494757503,1.862645149230957e-05
Block_Yellow_R6_C1,movable,explicit_size_image_placement,19.999980926513672,19.999980926513672,19.999999552965164,19.999999552965164,19.999999552965164,19.999999552965164,1.862645149230957e-05
Mark_Block_Yellow_R6_C2,marking,image_measured,19.999980926513672,19.999980926513672,0.019999999494757503,19.999999552965164,19.999999552965164,0.019999999494757503,1.862645149230957e-05
